username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-11-13 00:56;0;0;"Bah, parce qu’il y a eu l’affaire Weinstein et le déferlement # BalanceTonPorc ces dernières semaines ...";;;#;"929860513223372800";https://twitter.com/IskandarBnt/status/929860513223372800
;2017-11-13 00:55;0;0;"Dans les autres matchs y a Jaylen Barford à 23 pts à la MT pour Arkansas # balancetonporc # perfchampagne";;;# #;"929860157118603264";https://twitter.com/TanguyQIbasket/status/929860157118603264
;2017-11-13 00:54;0;1;"Donc ma vie c'est de recevoir des vidéos snap de mec que je connais pas entrain de se branler ... Je vais finir par faire une compilation # balancetonporc";;;#;"929860033852116993";https://twitter.com/MrsGramGram/status/929860033852116993
;2017-11-13 00:45;2;1;"DOMANTAS SABONIS. # BALANCETONPORC";;;#;"929857625508012033";https://twitter.com/PacersFrance/status/929857625508012033
;2017-11-13 00:34;21;62;"# MeAt14 This is actually me on my 15th birthday. # balancetonporc Jeffrey Cinelli was in his mid 30s at the time and raped me repeatedly for over a year. I was his third victim (that I know of) and likely not his last. pic.twitter.com/mQhhqRzfI1";;;# #;"929855047156097025";https://twitter.com/sarahlwestcott/status/929855047156097025
;2017-11-13 00:26;0;0;"# balancetonporc https://www.valeursactuelles.com/societe/pedophilie-au-maroc-les-revelations-choc-dun-ex-amant-de-berge-et-saint-laurent-90361 …";;;#;"929852986171457536";https://twitter.com/servale45/status/929852986171457536
;2017-11-13 00:24;0;1;"Participez à la consultation citoyenne sur le harcèlement et les violences sexuelles ! # balancetonporc # moiaussi # metoohttps://enmarche.typeform.com/to/WAAzeI";;;# # #;"929852364571529216";https://twitter.com/gridindriing/status/929852364571529216
;2017-11-13 00:14;0;0;"# Replay de # Clhebdo @ clhebdo5 saison 2 [épisode du 11.11.17] avec : @ ELevyCauseur , @ NPolony et @ Lindgaard Sujets: # CharlieHebdo @ edwyplenel @ TariqRamadan # BalanceTonPorc @ Benzema https://www.france.tv/france-5/c-l-hebdo/saison-2/315633-integrale-elisabeth-levy-natacha-polony-et-jade-lindgaard.html … sur @ France5tv";;@ @ @ @ @ @ @ @;# # # #;"929849944298663936";https://twitter.com/Brhaspatya/status/929849944298663936
;2017-11-13 00:13;0;1;"Je dois vous dire que j’allais en stage cet été et que mon responsable m’a sorti une phrase toute ma vie je m’en souviendrai, je venais normale pas trop envie d’en faire trop, je bossais trql puis d’un coup : vous pourriez vous maquiller? Ça fait plus commercial ! # balancetonporc";;;#;"929849564919730178";https://twitter.com/sxriouslynigga/status/929849564919730178
;2017-11-13 00:07;0;0;"La trouvaille du slogan # balancetonporc plutôt pitoyable !";;;#;"929848234805268481";https://twitter.com/plumenasie/status/929848234805268481
;2017-11-13 00:07;0;8;"Agree. Because it centers on an action, # balancetonporc feels so much more empowering. It's about regaining control of the narrative or redressing the balance of power. # MeToo feels a bit passive in comparison.";;;# #;"929848185874415616";https://twitter.com/MadelineOnMars/status/929848185874415616
;2017-11-13 00:01;0;0;"Retweeted Mark Harris ( @ MarkHarrisNYC): Just learned that the French version of # MeToo is # balancetonporc, which... http://fb.me/AS3b6DSo";;@;# #;"929846765229969409";https://twitter.com/rayanselmo/status/929846765229969409
;2017-11-12 23:58;222;827;"Just learned that the French version of # MeToo is # balancetonporc, which basically means "Out Your Pig." Score 1 for France.";;;# #;"929846008762261504";https://twitter.com/MarkHarrisNYC/status/929846008762261504
;2017-11-12 23:57;0;0;"# Balancetonporc";;;#;"929845752716779520";https://twitter.com/axel_ko/status/929845752716779520
;2017-11-12 23:56;1;2;"Dieudonné : L'affaire Tariq Ramadan // # balancetonporc https://youtu.be/iaRWFsotSFM via @ YouTube";;@;#;"929845413179461632";https://twitter.com/franckyxm/status/929845413179461632
;2017-11-12 23:48;0;0;"# balancetonporc. Bientot sava etre balance ton pakpak yaura des histoire du genre: (jte dans le bus il ma mis une main il s’appel )radjasan";;;#;"929843288084971521";https://twitter.com/DjellanYassin/status/929843288084971521
;2017-11-12 23:47;0;0;"# ParadisePapers # balancetonporc https://twitter.com/nrenard75/status/551670881098153984 …";;;# #;"929843124242874371";https://twitter.com/tousPRETS/status/929843124242874371
;2017-11-12 23:45;0;0;"Les femmes victimes de harcèlement sexuel sont courageuses. La société doit encore évoluer et nous voyons que la liberté gagnée doit toujours être défendue. Quelques soit la cause soyons vigilants! Rien n'est jamais acquis. Allez les filles !!! # balancetonporc # LGBTpic.twitter.com/KIPs8yo8B4";;;# #;"929842590161227776";https://twitter.com/venderbure/status/929842590161227776
;2017-11-12 23:43;3;4;"# balancetonporc au moins un nom par jour en Amérique du Nord (USA et Canada) pic.twitter.com/hDuB6zxGWx";;;#;"929842152917622784";https://twitter.com/Alkanz/status/929842152917622784
;2017-11-12 23:39;0;1;"# balancetonporc";;;#;"929841044962906112";https://twitter.com/gordon_skyd/status/929841044962906112
;2017-11-12 23:38;0;0;"Comment draguer sans nous les briser ? # balancetonporc http://clemmiewonder.tumblr.com/post/60079436684/comment-nous-draguer-sans-nous-les-briser …";;;#;"929840757661491201";https://twitter.com/gridindriing/status/929840757661491201
;2017-11-12 23:37;1;1;"# balancetonporc https://twitter.com/AfterRMC/status/929839981719359488 …";;;#;"929840611917729794";https://twitter.com/CaReagit/status/929840611917729794
;2017-11-12 23:32;1;0;"# balancetonporc https://twitter.com/julievalles/status/929651491547336704 …";;;#;"929839361444777985";https://twitter.com/servale45/status/929839361444777985
;2017-11-12 23:29;1;0;".a toutes toutes nos belles âmes de gauche qui ne contrôlent plus ce qu'elles ont engendrées... # balancetonporc @ libepic.twitter.com/fKBMtHgahz";;@;#;"929838545619046400";https://twitter.com/MROAero/status/929838545619046400
